b,fold,h,zero_frac,base,+thermal,+holiday,hol_n,+both
Hog_education_Wayne,fold0,1,0.9305555555555556,2.4482502142625093,2.498216098647518,2.4075281818954415,48,2.7073464674496104
Hog_education_Wayne,fold0,6,0.9305555555555556,4.947998333150713,4.379706457753319,3.860022940727336,48,5.022332717998889
Hog_education_Wayne,fold0,12,0.9305555555555556,6.130095581866233,6.340907835053736,7.015781516657316,48,6.473506027724709
Hog_education_Wayne,fold0,18,0.9305555555555556,3.7314497118615657,3.759107398169477,3.681244245201462,48,3.635041128991207
Hog_education_Wayne,fold0,24,0.9305555555555556,4.405885077363521,4.738396766801195,4.540089549964102,48,4.095445233528272
Hog_education_Wayne,fold1,1,0.8527777777777777,4.463520953010271,4.105833741925847,4.018314909000612,24,4.141291864636259
Hog_education_Wayne,fold1,6,0.8527777777777777,7.650851747669376,7.003702586692934,7.1002416158675175,24,6.634742413655988
Hog_education_Wayne,fold1,12,0.8527777777777777,7.872922647114613,7.853097129123909,7.921482721525725,24,8.884082754694456
Hog_education_Wayne,fold1,18,0.8527777777777777,6.913967565237598,8.063362047160158,7.962452411072779,24,7.3473573968574
Hog_education_Wayne,fold1,24,0.8527777777777777,8.086155827474728,9.981865586067604,7.781754413889661,24,7.330946632124763
Hog_education_Wayne,fold2,1,0.8541666666666666,0.6920776001699086,0.696877848962467,0.6931308700526828,0,0.7081848940349231
Hog_education_Wayne,fold2,6,0.8541666666666666,1.19843170813951,1.2895001846393193,1.2167907740319637,0,1.2710420152496174
Hog_education_Wayne,fold2,12,0.8541666666666666,1.4145318041559705,1.2031356284838888,1.2555073271045802,0,1.2554367739912615
Hog_education_Wayne,fold2,18,0.8541666666666666,0.9102513582254086,0.9452044378634211,0.931813942292999,0,0.9332920386984028
Hog_education_Wayne,fold2,24,0.8541666666666666,0.8315570026710392,0.8167739713904015,0.8495471800498812,0,0.8289682727613221
Hog_education_Wayne,fold3,1,0.07222222222222222,0.3433047394990023,0.3395951562800408,0.3381733289021653,0,0.3347447310652887
Hog_education_Wayne,fold3,6,0.07222222222222222,0.5409960483753405,0.550598090193882,0.5410288035064461,0,0.5385154465880225
Hog_education_Wayne,fold3,12,0.07222222222222222,0.5907164889933791,0.5972597025330665,0.5931740522205476,0,0.5994848292891133
Hog_education_Wayne,fold3,18,0.07222222222222222,0.5297029779041971,0.5409040566871238,0.5294515636733135,0,0.5394685171946625
Hog_education_Wayne,fold3,24,0.07222222222222222,0.49388368789978265,0.46730374659326146,0.5027061728844348,0,0.4875437010262905
Hog_office_Bryan,fold0,1,0.6541666666666667,0.5002249841354506,0.48007754971189126,0.492023606016871,48,0.48497393266652056
Hog_office_Bryan,fold0,6,0.6541666666666667,0.922302460940535,0.8486491892541411,0.798343541765671,48,0.7789606567742272
Hog_office_Bryan,fold0,12,0.6541666666666667,1.1061421669633518,1.1452037370151253,0.9959244888160514,48,0.9158727921772654
Hog_office_Bryan,fold0,18,0.6541666666666667,1.1102261926020975,1.0909435716205138,0.9444585038468488,48,0.94158415874435
Hog_office_Bryan,fold0,24,0.6541666666666667,1.0806014054894193,1.03746052592178,1.0036307452538302,48,0.9779370420001657
Hog_office_Bryan,fold1,1,0.5888888888888889,0.588865559083085,0.5718663919760453,0.5926371319690589,24,0.6024894434137326
Hog_office_Bryan,fold1,6,0.5888888888888889,0.9706316627332742,0.9659195251093979,1.0182105910203396,24,0.9768056854491902
Hog_office_Bryan,fold1,12,0.5888888888888889,1.1315894562135527,1.098082695015006,1.1139032945678615,24,1.0917991168646006
Hog_office_Bryan,fold1,18,0.5888888888888889,1.005602212725495,1.0202911105600745,1.094634745835127,24,1.071569840558732
Hog_office_Bryan,fold1,24,0.5888888888888889,1.000782175962668,1.0166910013921058,0.9936660946388527,24,0.9968245925433262
Hog_office_Bryan,fold2,1,0.6111111111111112,0.4362092603163469,0.43414085356229837,0.442361813660865,0,0.4268214473573303
Hog_office_Bryan,fold2,6,0.6111111111111112,0.7299499949558116,0.6966388597917363,0.7123409417854203,0,0.7088484254991082
Hog_office_Bryan,fold2,12,0.6111111111111112,0.8950472931249842,0.8572148668520346,0.8529061143467528,0,0.8700746837774869
Hog_office_Bryan,fold2,18,0.6111111111111112,0.817245787410674,0.8436857331065412,0.825823112930556,0,0.8223279220497856
Hog_office_Bryan,fold2,24,0.6111111111111112,0.7512986443095008,0.7574314419130229,0.739307499442777,0,0.7756345291158702
Hog_office_Bryan,fold3,1,0.12777777777777777,0.6835416224256307,0.700226307800802,0.7418426066817699,0,0.713004397892034
